,science,name,birth_place,death_place,birth_date,death_date,works,link
778,Физики,Леонид Николаевич Крылов,СССР,,1936,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
779,Физики,Николай Митрофанович Крылов,Санкт-Петербург империя Российская,СССР Москва,1879,1955-05-11,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9C%D0%B8%D1%82%D1%80%D0%BE%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
780,Физики,Сергей Крылов,Москва,,1941,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
781,Физики,Сергей Васильевич Крылов,СССР РСФСР Татарская Бугульма АССР,Новосибирск,1931,1997-01-20,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
782,Физики,Татьяна Николаевна Крылова-Лукомская,СССР,СССР,1901,1984,3,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2%D0%B0-%D0%9B%D1%83%D0%BA%D0%BE%D0%BC%D1%81%D0%BA%D0%B0%D1%8F,_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0"
783,Физики,Ричард Крэндалл,Энн-Арбор Мичиган,Орегон Портленд,1947-12-29,2012-12-20,7,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8D%D0%BD%D0%B4%D0%B0%D0%BB%D0%BB,_%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4"
784,Физики,Николай Владимирович Кудреватых,(Черновский Березовка Кировская район) Черновский район область,,1946,,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B4%D1%80%D0%B5%D0%B2%D0%B0%D1%82%D1%8B%D1%85,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
785,Физики,Николай Николаевич Кудрявцев,СССР Москва,,1950-05-08,,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B4%D1%80%D1%8F%D0%B2%D1%86%D0%B5%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
786,Физики,Вадим Михайлович Кузнецов,СССР,,,,9,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
787,Физики,Владимир Викторович Кузнецов,Челябинск,Москва,1942-02-23,2017-05-24,2,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
