,science,name,birth_place,death_place,birth_date,death_date,age,works,link
32,Искусствоведы,Борис Ионович Бродский,Харьков,Харьков,1920,1997,77.0,12,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%98%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
33,Искусствоведы,Генрих Брокгауз,Королевство Саксония союз Германский Лейпциг,Пруссия Саксония Свободное государство Третий рейх Лейпциг,1858-03-03,1941-10-24,83.0,5,"https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%BA%D0%B3%D0%B0%D1%83%D0%B7,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85_(%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%BE%D0%B2%D0%B5%D0%B4)"
34,Искусствоведы,Варвара Дмитриевна Бубнова,Петербург,Ленинград,1886-05-17,1983-03-28,96.0,6,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B1%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%92%D0%B0%D1%80%D0%B2%D0%B0%D1%80%D0%B0_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
35,Искусствоведы,Фёдор Ильич Булгаков,Курская губерния Тимский уезд империя Российская Тим,Гунгербург губерния уезд империя Везенбергский Российская Эстляндская,1852-04-21,1908-04-13,55.0,8,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%98%D0%BB%D1%8C%D0%B8%D1%87"
36,Искусствоведы,Ирина Леонидовна Бусева-Давыдова,Иваново СССР,,1952-02-15,,67.0,11,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%81%D0%B5%D0%B2%D0%B0-%D0%94%D0%B0%D0%B2%D1%8B%D0%B4%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0"
37,Искусствоведы,Дмитрий Олегович Буткевич,Москва СССР,,1963-11-23,,56.0,0,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%82%D0%BA%D0%B5%D0%B2%D0%B8%D1%87,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D1%87"
38,Искусствоведы,"Бычков, Владимир Васильевич",Область) (Челябинская Троицк,,1949-04-20,,70.0,61,"https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%87%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
39,Искусствоведы,Юрий Александрович Бычков,РСФСР Лопасня СССР область Московская,Москва Россия,1931,2016-04-18,85.0,41,"https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%87%D0%BA%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
40,Искусствоведы,Георгий Карлович Вагнер,Губерния империя Спасск-Рязанский Рязанская Российская,Москва Россия,1908,1995-01-25,87.0,11,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B3%D0%BD%D0%B5%D1%80,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
41,Искусствоведы,Наталья Валевская,Москва,,1978,,42.0,0,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F,_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0_(%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C%D0%B5%D1%80)"
