,science,name,birth_place,death_place,birth_date,death_date,works,link
1375,Математики,Муса ибн Шакир,Хорасан,,,,0,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%81%D0%B0_%D0%B8%D0%B1%D0%BD_%D0%A8%D0%B0%D0%BA%D0%B8%D1%80
1376,Математики,Толенды Гарифович Мустафин,Мерке Меркенский Жамбылская район область,Караганда,1942,1994,65,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%81%D1%82%D0%B0%D1%84%D0%B8%D0%BD,_%D0%A2%D0%BE%D0%BB%D0%B5%D0%BD%D0%B4%D1%8B_%D0%93%D0%B0%D1%80%D0%B8%D1%84%D0%BE%D0%B2%D0%B8%D1%87"
1377,Математики,Николай Иванович Мусхелишвили,Тифлис империя Тифлисская Российская губерния,СССР Грузинская Тбилиси ССР,1891,1976-07-15,0,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%81%D1%85%D0%B5%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
1378,Математики,Хосе Селестино Мутис,Кадис Испания,Колумбия Богота,1732,1808-09-11,2,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%82%D0%B8%D1%81,_%D0%A5%D0%BE%D1%81%D0%B5_%D0%A1%D0%B5%D0%BB%D0%B5%D1%81%D1%82%D0%B8%D0%BD%D0%BE"
1379,Математики,Абу Джафар Мухаммад ибн Муса ибн Шакир,,Багдад,803,873,0,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%85%D0%B0%D0%BC%D0%BC%D0%B0%D0%B4_%D0%B8%D0%B1%D0%BD_%D0%9C%D1%83%D1%81%D0%B0_%D0%B8%D0%B1%D0%BD_%D0%A8%D0%B0%D0%BA%D0%B8%D1%80
1380,Математики,Сергей Иванович Мухин,Москва,,1959-09-22,,0,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%85%D0%B8%D0%BD,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
1381,Математики,Альберт Абрамович Мучник,Россия,Москва,1934,2019-02-14,23,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%87%D0%BD%D0%B8%D0%BA,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82_%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
1382,Математики,Андрей Альбертович Мучник,СССР Россия Россия,СССР Россия Россия,1958-02-24,2007-03-18,0,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%87%D0%BD%D0%B8%D0%BA,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
1383,Математики,Ян Мычельский,Вишнёва (Нижняя Силезия),,1932-02-07,,11,"https://ru.wikipedia.org/wiki/%D0%9C%D1%8B%D1%87%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AF%D0%BD"
1384,Математики,Анатолий Дмитриевич Мышкис,Спасск область Рязанская,Россия Москва,1920-04-13,2009,2,"https://ru.wikipedia.org/wiki/%D0%9C%D1%8B%D1%88%D0%BA%D0%B8%D1%81,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
