,science,name,birth_place,death_place,birth_date,death_date,works,link
135,Психологи,Елена Георгиевна Дозорцева,Санкт-Петербург,,1954-01-25,,3,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B7%D0%BE%D1%80%D1%86%D0%B5%D0%B2%D0%B0,_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0"
136,Психологи,Франсуаза Дольто,Париж,Париж,1908,1988-08-25,9,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BB%D1%8C%D1%82%D0%BE,_%D0%A4%D1%80%D0%B0%D0%BD%D1%81%D1%83%D0%B0%D0%B7%D0%B0"
137,Психологи,Александр Иванович Донцов,УССР СССР Львов,,1949-10-15,,81,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D1%86%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
138,Психологи,Владимир Николаевич Дружинин,СССР РСФСР Большесельский район Ярославская область,Край Сочи Россия Краснодарский,1955-08-12,2001-06-22,26,"https://ru.wikipedia.org/wiki/%D0%94%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3)"
139,Психологи,Карл Дункер,Империя Саксония Лейпциг Германская Королевство,США,1903-02-02,1940-02-23,7,"https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%BD%D0%BA%D0%B5%D1%80,_%D0%9A%D0%B0%D1%80%D0%BB"
140,Психологи,Джон Дьюи,Вермонт США Бёрлингтон,США Нью-Йорк,1859-10-20,1952-06-01,24,"https://ru.wikipedia.org/wiki/%D0%94%D1%8C%D1%8E%D0%B8,_%D0%94%D0%B6%D0%BE%D0%BD"
141,Психологи,Поль Шарль Дюбуа,Ла-Шо-де-Фон,Берн,1848-11-28,1918,6,"https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D0%B1%D1%83%D0%B0,_%D0%9F%D0%BE%D0%BB%D1%8C_%D0%A8%D0%B0%D1%80%D0%BB%D1%8C"
142,Психологи,Аркадий Петрович Егидес,СССР Москва,Россия Москва,1940,2012-10-16,12,"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%B8%D0%B4%D0%B5%D1%81,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
143,Психологи,Борис Ефимович Егоров,Клайпеда СССР Литовская ССР,,1955-09-10,,0,"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%95%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
144,Психологи,Екатерина Владимировна Егорова,СССР Москва,,1956-02-21,,9,"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0"
145,Психологи,Диля Дэрдовна Еникеева,СССР РСФСР АССР Уфа Башкирская,,1951-01-28,,5,"https://ru.wikipedia.org/wiki/%D0%95%D0%BD%D0%B8%D0%BA%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BB%D1%8F_%D0%94%D1%8D%D1%80%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0"
