,science,name,birth_place,death_place,birth_date,death_date,age,works,link
307,Медики,Генрих Гофман,Франкфурт-на-Майне Германия Гессен,Франкфурт-на-Майне,1809-06-13,1894-09-20,85.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%84%D0%BC%D0%B0%D0%BD,_%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85_(%D0%BF%D1%81%D0%B8%D1%85%D0%B8%D0%B0%D1%82%D1%80)"
308,Медики,Вильгельм Гризингер,Королевство Вюртемберг Штутгарт Германский союз,Королевство Пруссия Северогерманский Бранденбург Берлин Провинция союз,1817-07-29,1868-10-26,51.0,1,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B7%D0%B8%D0%BD%D0%B3%D0%B5%D1%80,_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC"
309,Медики,Стенли Гринспен,США Нью-Йорк,США Нью-Йорк,1941-06-01,2010-04-27,68.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%BD%D1%81%D0%BF%D0%B5%D0%BD,_%D0%A1%D1%82%D0%B5%D0%BD%D0%BB%D0%B8"
310,Медики,Иоганн Якоб Гуггенбюль,Майлен,Во Швейцария Монтрё,1816-08-13,1863-02-02,46.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%B3%D0%B3%D0%B5%D0%BD%D0%B1%D1%8E%D0%BB%D1%8C,_%D0%98%D0%BE%D0%B3%D0%B0%D0%BD%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B1"
311,Медики,Бернхард Алоиз фон Гудден,Провинция Пруссия Дюссельдорф Рейнская Клеве союз королевство Германский,Берг Верхняя империя Штарнберг Бавария Германская,1824-06-07,1886-06-13,62.0,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%B4%D0%B4%D0%B5%D0%BD,_%D0%91%D0%B5%D1%80%D0%BD%D1%85%D0%B0%D1%80%D0%B4_%D0%90%D0%BB%D0%BE%D0%B8%D0%B7_%D1%84%D0%BE%D0%BD"
312,Медики,Михаил Осипович Гуревич,Сосница губерния Черниговская империя Российская,Москва СССР,1878-09-18,1953-11-16,75.0,6,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D1%80%D0%B5%D0%B2%D0%B8%D1%87,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9E%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87"
313,Медики,Жан Деле,Франция Байонна Новая Аквитания,Париж Франция,1907-11-14,1987-05-29,79.0,3,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%B5,_%D0%96%D0%B0%D0%BD"
314,Медики,Пьер Деникер,Париж Франция,Париж Франция,1917-02-16,1998-08-17,81.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D0%B8%D0%BA%D0%B5%D1%80,_%D0%9F%D1%8C%D0%B5%D1%80"
315,Медики,Александр Данилин,СССР Россия Россия СССР,,1960-03-12,,59.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
316,Медики,Джон Лэнгдон Даун,Великобритания Юго-Западная Корнуолл Торпойнт Англия,Лондон Великобритания Ричмонд-апон-Темс Англия Большой,1828-11-18,1896-10-07,67.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%83%D0%BD,_%D0%94%D0%B6%D0%BE%D0%BD_%D0%9B%D1%8D%D0%BD%D0%B3%D0%B4%D0%BE%D0%BD_%D0%A5%D1%8D%D0%B9%D0%B4%D0%BE%D0%BD"
317,Медики,Артур Дж. Дейкман,США Нью-Йорк,Калифорния США Марин Милл-Валли,1929-09-27,2013,84.0,11,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B9%D0%BA%D0%BC%D0%B0%D0%BD,_%D0%90%D1%80%D1%82%D1%83%D1%80"
318,Медики,Викторин Сергеевич Дерябин,Соровское уезд империя Шадринский Российская Соровское Пермская,РСФСР Ленинград СССР,1875,1955-01-12,80.0,12,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D1%8F%D0%B1%D0%B8%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
319,Медики,Эдмунд Якобсон,Чикаго Иллинойс США,Чикаго Иллинойс США,1888-04-22,1983-01-07,94.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BA%D0%BE%D0%B1%D1%81%D0%BE%D0%BD,_%D0%AD%D0%B4%D0%BC%D1%83%D0%BD%D0%B4"
320,Медики,Эва Джонстон,Великобритания Шотландия Глазго Ланаркшир,,1944,,76.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D1%82%D0%BE%D0%BD,_%D0%AD%D0%B2%D0%B0"
321,Медики,Пётр Андреевич Дюков,Российская империя Тверская губерния,Москва Российская империя,1834-06-16,1889-04-30,54.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%9F%D1%91%D1%82%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
322,Медики,Сергей Сергеевич Дяченко,ССР Украинская Киев СССР,,1945-04-14,,74.0,0,"https://ru.wikipedia.org/wiki/%D0%94%D1%8F%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
323,Медики,Аркадий Петрович Егидес,Москва СССР,Москва Россия,1940,2012-10-16,72.0,12,"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%B8%D0%B4%D0%B5%D1%81,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
324,Медики,Егоров Алексей Юрьевич,РСФСР Ленинград СССР,,1961-04-09,,58.0,10,"https://ru.wikipedia.org/wiki/%D0%95%D0%B3%D0%BE%D1%80%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA)"
325,Медики,Диля Дэрдовна Еникеева,РСФСР СССР АССР Уфа Башкирская,,1951-01-28,,68.0,5,"https://ru.wikipedia.org/wiki/%D0%95%D0%BD%D0%B8%D0%BA%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BB%D1%8F_%D0%94%D1%8D%D1%80%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0"
326,Медики,Эрнст Зиммель,Пруссия Силезия империя Бреслау Германская королевство,Калифорния США Лос-Анджелес,1882-04-04,1947-11-11,65.0,0,"https://ru.wikipedia.org/wiki/%D0%97%D0%B8%D0%BC%D0%BC%D0%B5%D0%BB%D1%8C,_%D0%AD%D1%80%D0%BD%D1%81%D1%82"
327,Медики,Авлипий Давидович Зурабашвили,Губерния Тифлисская,Тбилиси,1902-02-15,1994,92.0,14,"https://ru.wikipedia.org/wiki/%D0%97%D1%83%D1%80%D0%B0%D0%B1%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%90%D0%B2%D0%BB%D0%B8%D0%BF%D0%B8%D0%B9_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
328,Медики,Николай Николаевич Иванец,Свердловск СССР,,1941-11-15,,78.0,5,"https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%B5%D1%86,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
329,Медики,Карл Вильгельм Иделер,Германия,Бранденбург Германия Пригниц Кумлозен,1795-10-25,1860-07-29,64.0,0,"https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D0%B5%D0%BB%D0%B5%D1%80,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC"
330,Медики,Фридрих фон Йолли,Великое Гейдельберг Баден Германский союз герцогство,Германская империя Берлин,1844-11-24,1904-01-04,59.0,1,"https://ru.wikipedia.org/wiki/%D0%99%D0%BE%D0%BB%D0%BB%D0%B8,_%D0%A4%D1%80%D0%B8%D0%B4%D1%80%D0%B8%D1%85_%D1%84%D0%BE%D0%BD"
331,Медики,Поль Кильхольц,Швейцария Бругг Аргау,Швейцария Бругг Аргау,1916-11-15,1990-05-25,73.0,1,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BB%D1%8C%D1%85%D0%BE%D0%BB%D1%8C%D1%86,_%D0%9F%D0%BE%D0%BB%D1%8C"
332,Медики,Карл Клейст,Гранд-Эст Франция Эльзас,Франкфурт-на-Майне,1879-01-31,1960-12-26,81.0,1,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B5%D0%B9%D1%81%D1%82,_%D0%9A%D0%B0%D1%80%D0%BB"
333,Медики,Гаэтан Гасьян де Клерамбо,Бурж,Малакофф,1872,1934-11-17,62.0,6,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B5%D1%80%D0%B0%D0%BC%D0%B1%D0%BE,_%D0%93%D0%B0%D1%8D%D1%82%D0%B0%D0%BD_%D0%93%D0%B0%D1%81%D1%8C%D1%8F%D0%BD_%D0%B4%D0%B5"
334,Медики,Роланд Кун,Biel/Bienne,Scherzingen,1912-03-04,2005-10-10,93.0,0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BD,_%D0%A0%D0%BE%D0%BB%D0%B0%D0%BD%D0%B4"
335,Медики,Каган Виктор Ефимович,РСФСР СССР Новосибирская область Томск,,1943,,77.0,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B3%D0%B0%D0%BD,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%95%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87"
336,Медики,Карл Людвиг Кальбаум,Дризен,Гёрлиц,1828-12-28,1899-04-15,70.0,5,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%8C%D0%B1%D0%B0%D1%83%D0%BC,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3"
337,Медики,Дональд Юэн Камерон,Великобритания,США Нью-Йорк Лейк-Плэсид,1901-12-24,1967-09-08,65.0,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%BE%D0%BD,_%D0%94%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4"
338,Медики,Лео Каннер,Клекотов империя Австро-Венгерская,Мэриленд США,1894-06-13,1981,87.0,48,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%BD%D0%B5%D1%80,_%D0%9B%D0%B5%D0%BE"
