,science,name,birth_place,death_place,birth_date,death_date,works,link
43,Статистики,"Кауфман, Александр Аркадьевич",Берлин,Петроград РСФСР,1864-03-12,1919-05-18,30,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%83%D1%84%D0%BC%D0%B0%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
44,Статистики,Карл Август Романович Качоровский,Империя Российская,Империя Российская,1870,1937,8,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%87%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9A%D0%B0%D1%80%D0%BB_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
45,Статистики,Карл Келети,Союз империя Германский Австрийская Пресбург,Будапешт Австро-Венгрия,1833-07-18,1892-05-30,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BB%D0%B5%D1%82%D0%B8,_%D0%9A%D0%B0%D1%80%D0%BB"
46,Статистики,Морис Кендалл,Великобритания Кеттеринг,Редхилл Суррей Великобритания,1907,1983-03-29,6,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D0%B4%D0%B0%D0%BB%D0%BB,_%D0%9C%D0%BE%D1%80%D0%B8%D1%81_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6"
47,Статистики,Иван Кириллович Кирилов,Империя Российская,Казанская империя Российская Самара провинция Симбирская губерния,1695,1737-04-14,1,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
48,Статистики,Джек Кифер,Огайо Цинциннати США,Калифорния США Беркли,1925-01-25,1981-08-10,0,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%84%D0%B5%D1%80,_%D0%94%D0%B6%D0%B5%D0%BA"
49,Статистики,Дэвид Кокс,Бирмингем Великобритания,,1924-07-15,,19,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BA%D1%81,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4_(%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA)"
50,Статистики,Егор Иванович Краснопёров,Империя Российская Малмыж Вятская губерния,Российская империя Пермь,1842,1897-01-10,17,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%BF%D1%91%D1%80%D0%BE%D0%B2,_%D0%95%D0%B3%D0%BE%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
51,Статистики,Этьен Ласпейрес,Союз Пруссия Мерзебург округ Саксония Германский административный королевство Галле,Гисен империя Германская,1834-11-28,1913,4,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%81%D0%BF%D0%B5%D0%B9%D1%80%D0%B5%D1%81,_%D0%AD%D1%82%D1%8C%D0%B5%D0%BD"
52,Статистики,"Лексис, Вильгельм",Королевство Эшвайлер Пруссия,Германская империя Гёттинген,1837-07-17,1914-08-24,6,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BA%D1%81%D0%B8%D1%81,_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC"
53,Статистики,Александр Александрович Липский,Воронеж,?,1856,1915,4,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BF%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
54,Статистики,Михаил Мюльгалль,,,1836-09-29,1900-12-13,0,"https://ru.wikipedia.org/wiki/%D0%9C%D1%8E%D0%BB%D1%8C%D0%B3%D0%B0%D0%BB%D0%BB%D1%8C,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB"
55,Статистики,Владимир Михайлович Обухов,Империя Новочеркасск Российская,РСФСР Москва,1873-07-20,1945-01-05,17,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%83%D1%85%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
56,Статистики,Роман Михайлович Орженцкий,Империя Житомир Российская,Польша Варшава,1863,1923-05-24,9,"https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B6%D0%B5%D0%BD%D1%86%D0%BA%D0%B8%D0%B9,_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
57,Статистики,Александр Иванович Орлов,СССР Москва,,1949-05-14,,6,"https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BB%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)"
